CO,NO2,PM2.5,SO2,source_label,health_impact,Precautionary_Measures,AQI
1.279,1.13,3.36,3.22,Natural background air,Moderate,Keep an eye on air quality updates hourly,2.3195
1.809,43.8,87.65,38.48,Industrial emissions,Very unhealthy,Wear a certified respirator mask when stepping outside,44.7295
1.174,36.31,78.33,48.4,Power plant emissions,Unhealthy,Ensure proper ventilation with an air filter system,39.752
4.018,5.51,80.42,8.74,Domestic cooking/heating smoke,Unhealthy,Use an air purifier to improve indoor air quality,42.219
1.368,51.72,53.71,27.55,Power plant emissions,Unhealthy for sensitive groups,Children and seniors should reduce prolonged exertion outside,27.539
2.668,30.01,32.26,33.7,Power plant emissions,Moderate,Consider reducing prolonged outdoor physical activity,17.464
2.942,17.28,85.18,1.91,Domestic cooking/heating smoke,Unhealthy,Ensure proper ventilation with an air filter system,44.061
1.231,0.59,193.14,6.49,Construction dust,Very unhealthy,"Cancel all outdoor activities, including school sports",97.1855
7.729,79.51,29.9,5.18,Traffic congestion,Moderate,Keep an eye on air quality updates hourly,18.8145
1.079,26.74,68.72,24.9,Power plant emissions,Unhealthy,Ensure proper ventilation with an air filter system,34.8995
5.665,42.96,59.06,3.93,Traffic congestion,Unhealthy,Ensure proper ventilation with an air filter system,32.3625
1.407,52.15,51.28,37.4,Power plant emissions,Unhealthy for sensitive groups,Sensitive individuals should limit strenuous outdoor efforts,26.3435
4.833,18.89,200.71,7.26,Waste burning,Very unhealthy,Use an air filter or purifier in your home,102.7715
4.369,7.38,95.4,4.19,Biomass burning,Unhealthy,Ensure proper ventilation with an air filter system,49.8845
2.858,63.71,77.21,36.72,Industrial emissions,Unhealthy,Wear a high-efficiency particulate air mask outdoors,40.034
1.174,88.49,111.98,38.27,Industrial emissions,Unhealthy,Consider wearing an N95 respirator mask outdoors,56.577
4.639,19.34,87.15,5.05,Biomass burning,Unhealthy,Postpone outdoor sports and strenuous activities today,45.8945
9.603,73.44,26.58,0.26,Traffic congestion,Moderate,Keep an eye on air quality updates hourly,18.0915
1.338,6.15,205.26,0.49,Construction dust,Very unhealthy,Use an air filter or purifier in your home,103.299
0.351,8.96,10.6,2.23,Natural background air,Good,Feel free to engage in all physical activities,5.4755
5.033,6.24,173.1,7.73,Biomass burning,Very unhealthy,Use an air filter or purifier in your home,89.0665
0.502,4.81,145.16,2.96,Construction dust,Unhealthy,Wear a high-efficiency particulate air mask outdoors,72.831
1.881,3.91,21.33,4.32,Natural background air,Moderate,Keep an eye on air quality updates hourly,11.6055
5.759,26.1,157.76,0.82,Waste burning,Very unhealthy,Postpone all unnecessary outdoor travel and work,81.7595
0.612,12.57,1.81,4.41,Natural background air,Moderate,Be mindful of your body's health reactions,1.211
9.165,52.02,51.28,7.55,Traffic congestion,Unhealthy for sensitive groups,Avoid strenuous outdoor work or physical exercise,30.2225
6.384,34.89,165.85,13.81,Waste burning,Very unhealthy,Postpone all unnecessary outdoor travel and work,86.117
